Age,Gender,Annual Income,Monthly Income,Employment Status,Years of Employment,Education,Marital Status,Loan Amount,Loan Purpose,Interest Rate,Loan Term,Credit Score,Debt-to-Income Ratio,Number of Existing Loans,Number of Credit Cards,Previous Loan Defaults,Savings Balance,Monthly Expenses,Property Ownership,Dependents,Risk Level
26,Female,173900.0,14491.67,Employed,7.0,Doctorate,Married,21300.0,Personal,7.96,36,780.0,0.12,3,8,0,22200.0,4979.38,Own,1,Low Risk
72,Female,9900.0,825.0,Retired,31.0,High School,Single,4300.0,Home Improvement,19.46,60,653.0,0.27,0,4,0,500.0,1346.42,Mortgage,0,Medium Risk
39,Male,70900.0,5908.33,Employed,17.0,Bachelor,Single,18700.0,Education,15.36,36,638.0,0.07,0,4,0,41200.0,4015.95,Rent,2,Low Risk
43,Male,69700.0,5808.33,Employed,12.8,Associate,Single,14200.0,Debt Consolidation,10.01,36,732.0,0.17,2,2,0,1900.0,2201.8,Mortgage,1,Medium Risk
35,Male,91700.0,7641.67,Employed,4.8,Bachelor,Single,8300.0,Auto,9.14,36,678.0,0.09,1,1,0,1000.0,3262.52,Rent,1,Medium Risk
74,Female,19800.0,1650.0,Retired,35.0,High School,Single,6300.0,Business,3.77,24,833.0,0.52,2,4,0,2500.0,1305.52,Rent,0,Medium Risk
44,Female,37200.0,3100.0,Employed,3.5,Associate,Married,9400.0,Business,19.84,60,663.0,0.23,0,7,1,8900.0,1419.12,Mortgage,0,High Risk
45,Female,45200.0,3766.67,Employed,6.3,High School,Married,6100.0,Debt Consolidation,9.53,36,676.0,0.16,1,3,0,5500.0,2767.52,Mortgage,0,Medium Risk
66,Male,38900.0,3241.67,Retired,34.0,Bachelor,Married,5000.0,Business,10.12,36,719.0,0.18,1,2,0,1100.0,2141.3,Mortgage,0,Medium Risk
54,Male,111100.0,9258.33,Employed,14.9,Bachelor,Divorced,38600.0,Auto,9.22,12,741.0,0.13,0,7,0,10800.0,3561.19,Own,1,Low Risk
42,Male,80400.0,6700.0,Employed,22.4,Bachelor,Married,21200.0,Education,11.94,36,682.0,0.15,3,7,0,16200.0,3925.32,Own,2,Low Risk
73,Female,27000.0,2250.0,Retired,18.0,Associate,Married,3500.0,Business,14.31,60,729.0,0.17,0,4,0,2800.0,1286.38,Mortgage,0,Low Risk
56,Male,34800.0,2900.0,Employed,13.1,High School,Single,19000.0,Debt Consolidation,16.58,60,590.0,0.18,1,1,1,4500.0,1717.36,Own,0,High Risk
45,Female,48500.0,4041.67,Self-Employed,8.8,High School,Widowed,13700.0,Home Improvement,9.61,36,717.0,0.11,0,2,0,9100.0,2034.62,Mortgage,1,Medium Risk
48,Male,167300.0,13941.67,Employed,16.8,Bachelor,Single,57100.0,Debt Consolidation,11.23,36,674.0,0.14,1,5,1,12100.0,5859.25,Own,4,Medium Risk
37,Male,223600.0,18633.33,Employed,13.8,Doctorate,Single,12300.0,Debt Consolidation,11.57,36,724.0,0.05,1,3,0,3400.0,10368.62,Mortgage,4,Medium Risk
35,Female,41500.0,3458.33,Retired,16.0,Bachelor,Married,20400.0,Auto,10.03,36,684.0,0.18,1,3,0,2400.0,2429.82,Mortgage,3,Medium Risk
59,Non-Binary,109600.0,9133.33,Employed,30.7,Bachelor,Single,14900.0,Debt Consolidation,15.44,36,585.0,0.11,1,7,0,18600.0,3416.34,Mortgage,0,Low Risk
30,Male,67900.0,5658.33,Employed,5.9,Bachelor,Single,7900.0,Education,17.98,24,628.0,0.07,1,2,0,800.0,4138.16,Mortgage,4,Low Risk
75,Female,32900.0,2741.67,Retired,35.0,Bachelor,Single,5200.0,Debt Consolidation,9.0,36,790.0,0.42,3,3,0,2900.0,1836.29,Mortgage,1,Medium Risk
60,Female,153900.0,12825.0,Self-Employed,29.6,Bachelor,Single,19100.0,Business,17.27,60,625.0,0.08,1,3,1,43700.0,5535.27,Mortgage,0,High Risk
40,Non-Binary,265800.0,22150.0,Employed,4.0,Doctorate,Single,9500.0,Debt Consolidation,9.81,36,720.0,0.06,1,5,0,36800.0,10442.51,Own,3,Low Risk
24,Male,10800.0,900.0,Unemployed,0.0,Associate,Single,1600.0,Debt Consolidation,21.77,36,473.0,0.15,0,3,0,300.0,1463.53,Rent,2,High Risk
61,Female,69400.0,5783.33,Employed,18.2,Associate,Married,15900.0,Auto,11.75,24,676.0,0.17,1,3,0,6700.0,2143.95,Mortgage,0,Low Risk
19,Female,19200.0,1600.0,Self-Employed,0.7,High School,Single,2000.0,Personal,13.2,24,592.0,0.27,1,3,1,1500.0,1167.75,Rent,0,High Risk
51,Male,162900.0,13575.0,Employed,29.9,Bachelor,Married,16500.0,Debt Consolidation,6.22,24,769.0,0.14,1,8,0,70700.0,7794.93,Mortgage,4,Low Risk
59,Female,8400.0,700.0,Unemployed,0.0,Associate,Married,3800.0,Home Improvement,14.4,60,668.0,0.7,2,4,0,1500.0,1262.27,Own,0,High Risk
68,Female,23000.0,1916.67,Retired,37.0,High School,Married,4500.0,Personal,8.01,36,762.0,0.7,4,9,0,6900.0,1232.3,Rent,0,Medium Risk
26,Male,48700.0,4058.33,Employed,4.4,High School,Married,11200.0,Home Improvement,20.05,24,525.0,0.19,2,1,0,700.0,2742.74,Mortgage,2,High Risk
58,Male,76300.0,6358.33,Self-Employed,24.8,Bachelor,Married,17000.0,Personal,18.06,60,629.0,0.15,1,1,2,4000.0,3864.32,Own,2,High Risk
38,Male,100400.0,8366.67,Employed,9.5,Bachelor,Single,8100.0,Home Improvement,15.82,24,592.0,0.05,0,2,0,3100.0,5209.72,Mortgage,2,Medium Risk
42,Male,71100.0,5925.0,Employed,16.3,Bachelor,Single,9700.0,Business,14.46,36,601.0,0.12,1,1,1,22800.0,2801.78,Own,2,Medium Risk
34,Male,44800.0,3733.33,Employed,5.9,Associate,Widowed,15300.0,Personal,15.87,24,603.0,0.21,2,1,0,3200.0,2374.82,Rent,2,Medium Risk
57,Male,52000.0,4333.33,Employed,25.7,High School,Married,8800.0,Auto,13.23,36,737.0,0.05,0,4,0,1400.0,2021.12,Rent,0,Low Risk
43,Female,178800.0,14900.0,Employed,12.0,Master,Single,14000.0,Debt Consolidation,10.27,60,763.0,0.12,2,8,0,58700.0,4934.01,Own,0,Low Risk
73,Male,97500.0,8125.0,Retired,35.0,Doctorate,Divorced,10400.0,Debt Consolidation,16.9,12,591.0,0.14,1,2,0,6800.0,3782.48,Mortgage,1,Medium Risk
58,Male,77000.0,6416.67,Employed,20.7,Bachelor,Married,5000.0,Debt Consolidation,17.97,36,616.0,0.11,0,6,0,11500.0,3097.76,Rent,0,Medium Risk
45,Female,40100.0,3341.67,Employed,7.6,Associate,Divorced,4700.0,Debt Consolidation,11.52,24,717.0,0.22,1,5,0,16700.0,2574.69,Rent,2,Low Risk
55,Female,162600.0,13550.0,Employed,15.7,Master,Married,34900.0,Debt Consolidation,14.71,36,627.0,0.13,4,6,0,15600.0,5946.8,Mortgage,0,Medium Risk
50,Female,77000.0,6416.67,Employed,21.5,Associate,Single,20200.0,Home Improvement,8.98,60,759.0,0.23,1,8,0,10100.0,3020.26,Mortgage,2,Medium Risk
39,Female,127400.0,10616.67,Employed,19.7,Bachelor,Married,14800.0,Debt Consolidation,19.3,36,533.0,0.07,0,5,1,100.0,5208.28,Own,4,High Risk
43,Female,55700.0,4641.67,Employed,18.9,Associate,Single,13100.0,Debt Consolidation,18.88,24,572.0,0.09,0,5,0,300.0,2211.71,Mortgage,0,High Risk
50,Male,50000.0,4166.67,Employed,23.4,Associate,Married,3100.0,Debt Consolidation,13.05,60,729.0,0.32,2,5,0,22500.0,1712.58,Mortgage,1,Low Risk
24,Male,38200.0,3183.33,Employed,2.6,High School,Single,10200.0,Auto,9.31,12,753.0,0.33,1,10,0,8700.0,2384.5,Rent,1,Low Risk
23,Female,10000.0,833.33,Unemployed,0.0,Bachelor,Married,3000.0,Debt Consolidation,23.32,36,541.0,,0,6,0,100.0,1055.4,Rent,0,High Risk
58,Male,63300.0,5275.0,Employed,6.6,High School,Married,13500.0,Home Improvement,13.5,24,701.0,0.07,0,4,0,11800.0,2241.07,Mortgage,0,Low Risk
54,Female,22500.0,1875.0,Employed,4.6,High School,Single,3500.0,Debt Consolidation,15.54,36,649.0,0.68,3,7,0,2000.0,1497.54,Mortgage,1,High Risk
58,Male,140600.0,11716.67,Employed,26.3,Bachelor,Married,6500.0,Home Improvement,10.5,60,763.0,0.11,0,10,0,31800.0,5136.6,Mortgage,0,Low Risk
44,Male,79300.0,6608.33,Employed,17.2,Associate,Single,5900.0,Personal,23.6,12,470.0,0.07,0,0,0,3100.0,3611.08,Mortgage,2,Medium Risk
63,Female,50700.0,4225.0,Employed,33.8,Bachelor,Married,11000.0,Auto,16.07,24,667.0,0.09,0,1,0,2500.0,2459.75,Mortgage,0,Low Risk
71,Male,18900.0,1575.0,Retired,28.0,Bachelor,Single,4800.0,Home Improvement,6.52,24,745.0,0.37,1,4,0,100.0,1216.12,Mortgage,1,Medium Risk
55,Female,7000.0,583.33,Unemployed,0.0,Master,Single,5000.0,Education,18.25,12,612.0,0.68,1,7,0,100.0,1151.93,Rent,0,High Risk
34,Female,149900.0,12491.67,Employed,5.2,Bachelor,Widowed,5400.0,Home Improvement,15.5,36,635.0,0.06,1,2,1,7800.0,5621.16,Mortgage,2,Medium Risk
21,Male,6900.0,575.0,Unemployed,0.0,Master,Married,2500.0,Education,14.09,12,604.0,0.39,1,1,0,100.0,1443.21,Rent,1,High Risk
62,Male,142200.0,11850.0,Employed,17.7,Master,Married,22600.0,Auto,6.11,24,788.0,0.13,2,10,0,51900.0,4991.9,Mortgage,0,Low Risk
37,Female,35200.0,2933.33,Employed,18.5,High School,Married,7800.0,Auto,19.9,60,665.0,0.34,2,6,0,6300.0,2429.59,Mortgage,2,Medium Risk
23,Male,73700.0,6141.67,Self-Employed,3.4,Associate,Single,8700.0,Debt Consolidation,16.56,60,637.0,0.2,2,4,0,100.0,3047.93,Rent,0,High Risk
30,Male,120500.0,10041.67,Employed,9.8,Bachelor,Single,9900.0,Education,18.62,36,572.0,0.1,1,3,1,5100.0,5301.27,Rent,3,High Risk
29,Female,252900.0,21075.0,Employed,0.8,Doctorate,Married,45600.0,Debt Consolidation,16.42,36,669.0,0.08,1,3,0,4700.0,6915.93,Rent,3,Medium Risk
28,Male,37700.0,3141.67,Employed,7.2,High School,Divorced,10000.0,Education,12.48,24,693.0,0.06,0,7,0,100.0,2160.31,Mortgage,1,Medium Risk
64,Female,96200.0,8016.67,Employed,44.1,Bachelor,Single,2400.0,Education,12.52,12,,0.14,0,5,0,1500.0,2859.03,Own,0,Low Risk
39,Female,6400.0,533.33,Unemployed,0.0,High School,Single,1500.0,Education,18.69,24,489.0,0.7,2,1,0,100.0,1618.22,Rent,1,High Risk
35,Female,120900.0,10075.0,Employed,1.0,Bachelor,Single,30900.0,Debt Consolidation,8.72,12,773.0,0.15,2,4,0,,3767.18,Mortgage,1,Low Risk
41,Female,37100.0,3091.67,Employed,16.2,High School,Married,10800.0,Debt Consolidation,18.07,60,647.0,0.69,5,4,0,2700.0,2511.38,Mortgage,2,High Risk
75,Female,33500.0,2791.67,Retired,18.0,Bachelor,Married,2500.0,Debt Consolidation,7.61,60,784.0,0.22,0,9,0,10100.0,2203.41,Mortgage,2,Low Risk
74,Female,58300.0,4858.33,Retired,22.0,Master,Married,7400.0,Personal,12.89,36,695.0,0.14,1,3,0,,2694.12,Mortgage,0,Low Risk
49,Female,243800.0,20316.67,Self-Employed,27.8,Master,Married,17300.0,Debt Consolidation,10.84,36,723.0,0.05,0,4,0,,6602.37,Mortgage,2,Low Risk
52,Non-Binary,68200.0,5683.33,Employed,28.2,High School,Divorced,26100.0,Debt Consolidation,15.8,12,604.0,0.19,2,5,0,1100.0,2963.88,Mortgage,0,High Risk
39,Female,82800.0,6900.0,Self-Employed,16.8,Bachelor,Single,26800.0,Debt Consolidation,24.97,36,579.0,0.16,1,2,0,21400.0,2389.63,Rent,2,High Risk
55,Male,84000.0,7000.0,Employed,10.2,Associate,Married,17200.0,Business,18.08,36,,0.11,1,6,0,600.0,3815.34,Mortgage,1,High Risk
56,Female,14800.0,1233.33,Unemployed,0.0,High School,Married,5400.0,Debt Consolidation,12.9,36,713.0,0.46,1,5,0,1100.0,1664.29,Mortgage,1,High Risk
53,Male,31100.0,2591.67,Employed,18.5,High School,Single,7100.0,Personal,13.19,36,730.0,0.15,0,7,0,6100.0,2091.82,Rent,1,Low Risk
41,Male,46100.0,3841.67,Employed,17.9,High School,Single,7000.0,Auto,10.22,60,748.0,0.12,1,3,0,18400.0,2512.7,Mortgage,0,Low Risk
53,Male,164400.0,13700.0,Employed,26.3,Bachelor,Married,7600.0,Home Improvement,4.41,36,825.0,0.09,0,4,0,24400.0,4149.24,Mortgage,1,Low Risk
67,Non-Binary,10300.0,858.33,Retired,18.0,High School,Widowed,2100.0,Auto,13.18,36,725.0,0.19,0,3,1,1400.0,1477.28,Mortgage,0,Medium Risk
32,Female,88200.0,7350.0,Employed,2.1,Bachelor,Married,7500.0,Auto,7.66,36,749.0,0.19,2,1,0,29300.0,3891.87,Own,1,Low Risk
20,Male,7900.0,658.33,Unemployed,0.0,Master,Married,4000.0,Personal,15.4,12,581.0,0.21,0,2,0,1400.0,733.3,Rent,0,High Risk
54,Male,13400.0,1116.67,Unemployed,0.0,High School,Divorced,4400.0,Auto,15.49,36,660.0,0.49,1,6,0,100.0,2343.55,Mortgage,3,High Risk
45,Male,14200.0,1183.33,Unemployed,0.0,Bachelor,Married,2700.0,Auto,18.89,60,624.0,0.15,0,6,0,1900.0,1404.22,Mortgage,0,High Risk
64,Female,39000.0,3250.0,Self-Employed,4.7,High School,Single,8300.0,Home Improvement,13.15,60,676.0,0.2,1,2,0,6900.0,1289.74,Own,0,Medium Risk
21,Female,104000.0,8666.67,Employed,0.8,Doctorate,Married,51900.0,Personal,16.48,24,583.0,,2,6,0,9800.0,3897.01,Rent,0,Medium Risk
49,Male,49100.0,4091.67,Self-Employed,25.3,High School,Single,4900.0,Education,14.51,24,637.0,0.12,1,1,1,700.0,2646.91,Rent,1,High Risk
26,Male,37700.0,3141.67,Employed,4.1,High School,Married,5900.0,Business,17.27,60,644.0,0.07,0,3,0,3300.0,2119.76,Own,1,Medium Risk
69,Male,50200.0,4183.33,Retired,21.0,Bachelor,Married,6100.0,Education,10.36,12,725.0,0.13,0,6,0,13700.0,2121.73,Own,0,Low Risk
20,Female,7000.0,583.33,Unemployed,0.0,Bachelor,Married,2600.0,Home Improvement,20.73,12,458.0,0.33,0,3,0,300.0,1212.2,Rent,0,High Risk
70,Female,11100.0,925.0,Retired,35.0,High School,Divorced,4300.0,Auto,11.26,60,768.0,0.63,1,6,0,2200.0,1050.75,Rent,0,Medium Risk
39,Female,162800.0,13566.67,Employed,9.7,Master,Married,5300.0,Home Improvement,10.76,24,726.0,0.14,1,5,0,2300.0,5582.06,Mortgage,2,Low Risk
60,Female,39600.0,3300.0,Employed,38.5,Associate,Married,2800.0,Home Improvement,20.19,60,533.0,0.09,0,2,1,3100.0,2583.22,Own,2,Medium Risk
24,Female,47300.0,3941.67,Employed,3.5,Associate,Divorced,5300.0,Debt Consolidation,13.63,60,676.0,0.26,2,6,0,2300.0,2289.76,Rent,1,Medium Risk
65,Female,140600.0,11716.67,Employed,20.2,Bachelor,Married,3000.0,Debt Consolidation,19.66,60,664.0,0.12,1,4,0,15400.0,4604.22,Mortgage,0,Low Risk
34,Non-Binary,202400.0,16866.67,Employed,0.8,Master,Married,6800.0,Home Improvement,17.51,24,653.0,0.08,0,7,2,200.0,7436.59,Mortgage,2,High Risk
68,Male,21500.0,1791.67,Retired,16.0,High School,Single,4200.0,Debt Consolidation,7.12,60,741.0,0.13,0,4,0,300.0,1150.35,Mortgage,0,Low Risk
42,Male,42700.0,3558.33,Employed,3.5,High School,Married,3700.0,Education,10.61,60,698.0,0.08,0,4,0,900.0,2758.89,Rent,1,Low Risk
55,Female,199400.0,16616.67,Employed,7.0,Master,Married,33400.0,Debt Consolidation,6.25,12,833.0,0.05,0,7,0,158000.0,6588.04,Mortgage,2,Low Risk
72,Female,11800.0,983.33,Retired,33.0,High School,Single,3500.0,Debt Consolidation,9.18,24,755.0,0.59,1,6,0,2500.0,1247.32,Mortgage,0,Medium Risk
26,Male,25500.0,2125.0,Self-Employed,7.7,High School,Married,2900.0,Debt Consolidation,21.52,36,553.0,0.06,0,3,0,3400.0,1700.78,Own,1,Medium Risk
21,Female,12400.0,1033.33,Unemployed,0.0,Bachelor,Married,2600.0,Debt Consolidation,14.98,24,598.0,0.59,1,6,0,1300.0,860.18,Rent,0,High Risk
42,Non-Binary,50800.0,4233.33,Employed,21.0,High School,Married,3300.0,Personal,10.26,60,674.0,0.12,1,1,0,2800.0,2266.14,Mortgage,2,Low Risk
43,Male,36300.0,3025.0,Self-Employed,17.3,High School,Single,3500.0,Home Improvement,14.99,24,670.0,0.47,3,1,0,700.0,2024.85,Mortgage,1,Medium Risk
22,Male,261700.0,21808.33,Employed,3.1,Doctorate,Single,53700.0,Home Improvement,17.34,36,605.0,0.08,2,2,1,47800.0,6804.0,Rent,0,High Risk
68,Female,11600.0,966.67,Retired,41.0,High School,Married,3000.0,Education,18.48,36,558.0,0.15,0,2,0,1700.0,1233.9,Own,1,Medium Risk
46,Female,45300.0,3775.0,Employed,13.9,Associate,Single,8000.0,Personal,17.12,24,,0.06,0,3,0,2100.0,2497.94,Mortgage,3,Medium Risk
65,Female,118500.0,9875.0,Employed,24.9,Bachelor,Single,16800.0,Home Improvement,10.18,24,734.0,0.1,2,1,0,15800.0,4195.89,Mortgage,0,Low Risk
74,Female,49700.0,4141.67,Retired,38.0,Bachelor,Married,16100.0,Debt Consolidation,10.27,60,709.0,0.14,2,1,0,4400.0,1863.06,Rent,0,Medium Risk
40,Female,48500.0,4041.67,Retired,17.0,Doctorate,Divorced,3400.0,Home Improvement,13.2,36,664.0,0.13,0,3,0,900.0,2774.66,Mortgage,4,Medium Risk
50,Female,118000.0,9833.33,Employed,18.8,Master,Married,4700.0,Business,12.68,36,685.0,0.07,0,5,0,1700.0,4265.8,Mortgage,1,Low Risk
53,Male,7900.0,658.33,Unemployed,0.0,Bachelor,Divorced,4400.0,Home Improvement,23.85,36,548.0,0.7,1,4,1,200.0,1508.84,Mortgage,2,High Risk
67,Female,12700.0,1058.33,Retired,16.0,High School,Married,5000.0,Debt Consolidation,24.78,36,550.0,0.59,1,6,1,3300.0,1542.35,Mortgage,0,High Risk
75,Female,23600.0,1966.67,Retired,19.0,Bachelor,Married,10100.0,Debt Consolidation,13.56,36,622.0,0.17,0,4,0,4700.0,1518.16,Rent,1,Medium Risk
51,Female,147200.0,12266.67,Self-Employed,4.2,Bachelor,Single,41200.0,Home Improvement,23.46,24,529.0,0.11,1,4,1,2200.0,4796.99,Mortgage,1,High Risk
68,Female,76900.0,6408.33,Retired,24.0,Master,Married,5100.0,Education,17.38,60,642.0,0.05,0,4,0,4100.0,3028.73,Rent,0,Medium Risk
21,Male,14600.0,1216.67,Unemployed,0.0,High School,Single,4700.0,Home Improvement,25.08,60,507.0,0.51,1,4,0,600.0,738.15,Mortgage,0,High Risk
54,Female,73400.0,6116.67,Employed,8.1,Bachelor,Single,21200.0,Home Improvement,5.25,36,850.0,0.13,0,7,0,29200.0,3313.23,Rent,1,Low Risk
65,Female,30200.0,2516.67,Employed,22.5,High School,Single,6100.0,Education,14.63,12,613.0,0.39,2,4,0,700.0,1250.02,Rent,0,High Risk
67,Male,50300.0,4191.67,Retired,33.0,Bachelor,Married,5700.0,Home Improvement,3.96,12,821.0,0.18,1,4,0,19300.0,2676.37,Mortgage,0,Low Risk
34,Female,85500.0,7125.0,Employed,7.5,Bachelor,Single,5400.0,Auto,22.65,24,523.0,0.07,0,4,0,8600.0,3302.06,Own,1,Medium Risk
61,Female,217600.0,18133.33,Self-Employed,8.3,Master,Married,23700.0,Home Improvement,8.56,12,789.0,0.09,1,9,0,35900.0,8388.29,Mortgage,0,Low Risk
39,Male,6000.0,500.0,Unemployed,0.0,Bachelor,Divorced,2500.0,Business,17.57,24,640.0,0.7,1,3,0,1000.0,1621.2,Rent,1,High Risk
57,Female,73400.0,6116.67,Employed,,Bachelor,Single,7700.0,Debt Consolidation,13.05,36,670.0,0.08,1,1,0,7300.0,3260.54,Own,0,Low Risk
71,Male,52300.0,4358.33,Employed,16.3,High School,Divorced,14600.0,Business,15.5,24,660.0,0.14,0,4,0,14600.0,2340.53,Mortgage,0,Medium Risk
60,Male,37600.0,3133.33,Employed,23.4,High School,Single,4100.0,Personal,19.88,36,522.0,0.12,1,1,0,900.0,1862.1,Mortgage,0,Medium Risk
24,Male,56500.0,4708.33,Self-Employed,1.3,Bachelor,Divorced,19300.0,Education,14.7,24,602.0,0.12,0,3,0,8800.0,2641.64,Rent,1,Medium Risk
74,Male,28500.0,2375.0,Retired,42.0,Associate,Single,5500.0,Home Improvement,6.03,12,792.0,0.15,0,7,0,18600.0,1388.45,Own,0,Low Risk
20,Male,86700.0,7225.0,Employed,1.8,Bachelor,Married,46300.0,Business,14.32,12,644.0,0.09,1,1,0,20900.0,2318.73,Rent,0,Medium Risk
47,Male,52500.0,4375.0,Employed,19.3,High School,Married,3100.0,Debt Consolidation,20.87,36,577.0,0.12,0,4,1,3900.0,2541.38,Own,2,Medium Risk
74,Female,18000.0,1500.0,Retired,29.0,High School,Divorced,2200.0,Home Improvement,12.89,36,703.0,0.18,0,2,0,2100.0,1247.87,Own,0,Low Risk
48,Male,72500.0,6041.67,Self-Employed,11.0,High School,Single,2800.0,Home Improvement,14.67,24,607.0,0.14,1,4,1,0.0,3321.33,Mortgage,0,High Risk
56,Male,153100.0,12758.33,Employed,1.9,Bachelor,Single,34800.0,Debt Consolidation,15.23,36,647.0,0.13,3,4,0,,3798.32,Own,0,Medium Risk
71,Male,11500.0,958.33,Retired,31.0,Associate,Divorced,2800.0,Home Improvement,20.3,24,556.0,0.12,0,1,0,700.0,1168.99,Mortgage,0,High Risk
22,Male,79600.0,6633.33,Employed,1.2,Bachelor,Single,5400.0,Home Improvement,13.37,36,618.0,0.25,3,4,1,59300.0,3360.99,Rent,0,Medium Risk
62,Female,11900.0,991.67,Unemployed,0.0,Bachelor,Single,5000.0,Auto,20.58,60,569.0,0.38,0,6,0,1500.0,1037.39,Rent,0,High Risk
35,Female,61600.0,5133.33,Employed,1.8,High School,Married,17800.0,Auto,10.74,24,689.0,0.21,2,7,0,18100.0,3403.35,Mortgage,2,Low Risk
18,Male,54200.0,4516.67,Self-Employed,0.0,Bachelor,Single,15700.0,Debt Consolidation,23.38,36,484.0,0.3,3,2,0,4200.0,2336.24,Rent,0,High Risk
49,Female,48000.0,4000.0,Retired,17.0,Bachelor,Married,17200.0,Home Improvement,9.49,12,688.0,0.12,0,6,0,9300.0,2400.37,Rent,3,Medium Risk
27,Male,63200.0,5266.67,Employed,4.2,Associate,Single,14800.0,Personal,17.1,12,618.0,0.07,1,1,0,24900.0,2238.57,Rent,0,Medium Risk
20,Male,10800.0,900.0,Unemployed,0.0,High School,Married,2200.0,Auto,18.57,36,446.0,0.52,1,3,1,1200.0,1328.22,Rent,0,High Risk
37,Male,7500.0,625.0,Unemployed,0.0,Associate,Married,3600.0,Debt Consolidation,17.82,24,581.0,0.14,0,1,1,0.0,1276.35,Rent,2,High Risk
52,Female,161800.0,13483.33,Employed,6.5,Bachelor,Married,9600.0,Business,11.45,24,732.0,0.14,2,7,0,15600.0,6329.26,Own,2,Low Risk
63,Female,56000.0,4666.67,Employed,9.8,Associate,Married,17000.0,Debt Consolidation,5.95,36,837.0,0.14,0,8,0,19200.0,2419.8,Mortgage,0,Low Risk
30,Male,21600.0,1800.0,Employed,1.0,High School,Married,5600.0,Debt Consolidation,14.84,12,630.0,0.4,1,5,1,1700.0,1591.38,Mortgage,0,High Risk
69,Male,18800.0,1566.67,Retired,17.0,High School,Widowed,2800.0,Business,7.71,36,768.0,0.52,2,4,0,6700.0,1165.51,Own,0,Low Risk
44,Female,165000.0,13750.0,Employed,3.1,Bachelor,Divorced,15800.0,Education,11.82,12,710.0,0.07,1,1,0,36300.0,5971.48,Own,2,Low Risk
27,Female,99500.0,8291.67,Employed,1.7,Bachelor,Widowed,17100.0,Home Improvement,17.52,60,656.0,0.05,0,1,0,6300.0,4500.87,Mortgage,2,Medium Risk
31,Female,32900.0,2741.67,Employed,9.7,Associate,Single,11300.0,Education,18.48,36,592.0,0.27,1,7,1,2100.0,1975.67,Rent,1,High Risk
49,Non-Binary,254000.0,21166.67,Self-Employed,27.6,Doctorate,Married,64100.0,Home Improvement,18.14,36,628.0,0.13,1,7,1,800.0,8389.82,Mortgage,0,High Risk
26,Male,103200.0,8600.0,Employed,6.8,Bachelor,Married,14300.0,Debt Consolidation,9.6,24,711.0,0.05,0,1,0,20300.0,4303.73,Mortgage,1,Low Risk
61,Female,35300.0,2941.67,Employed,23.9,Associate,Married,14700.0,Debt Consolidation,8.08,12,741.0,0.18,1,3,0,5300.0,1911.22,Own,0,Low Risk
69,Female,84300.0,7025.0,Employed,14.8,Bachelor,Single,22100.0,Education,4.57,36,835.0,0.11,1,3,0,25500.0,2211.36,Rent,0,Low Risk
44,Female,142500.0,11875.0,Employed,1.3,Bachelor,Divorced,19700.0,Home Improvement,14.27,12,620.0,0.08,2,4,0,20800.0,5356.96,Mortgage,1,Low Risk
44,Male,148600.0,12383.33,Employed,16.2,Master,Married,79300.0,Home Improvement,13.99,36,626.0,0.1,1,3,1,29600.0,4655.27,Mortgage,2,High Risk
56,Female,105600.0,8800.0,Self-Employed,31.4,Bachelor,Single,26600.0,Debt Consolidation,4.87,36,826.0,0.07,0,6,0,37300.0,4163.15,Own,0,Low Risk
20,Male,11500.0,958.33,Unemployed,0.0,High School,Divorced,2100.0,Business,18.95,36,578.0,0.7,2,5,1,1000.0,1731.71,Rent,1,High Risk
18,Female,8900.0,741.67,Unemployed,0.0,Bachelor,Married,3000.0,Debt Consolidation,19.73,24,547.0,0.53,0,7,1,100.0,1300.54,Rent,0,High Risk
40,Female,37000.0,3083.33,Employed,6.4,High School,Married,3200.0,Debt Consolidation,10.36,60,698.0,0.17,0,6,0,2600.0,2074.69,Rent,2,Medium Risk
47,Female,45100.0,3758.33,Employed,20.3,High School,Married,16500.0,Debt Consolidation,12.98,36,711.0,0.15,1,2,0,14300.0,1885.38,Rent,0,Low Risk
31,Female,27500.0,2291.67,Employed,5.3,High School,Single,8200.0,Debt Consolidation,24.34,36,568.0,0.12,0,2,0,1600.0,1341.51,Mortgage,2,Medium Risk
33,Female,64300.0,5358.33,Self-Employed,14.9,Bachelor,Single,3100.0,Debt Consolidation,16.29,36,594.0,0.17,1,7,0,8900.0,2431.41,Mortgage,0,Low Risk
61,Male,80000.0,6666.67,Employed,15.5,Associate,Divorced,3700.0,Business,14.59,36,645.0,0.08,0,3,0,19200.0,3361.26,Mortgage,0,Low Risk
34,Female,268900.0,22408.33,Employed,8.4,Doctorate,Married,23900.0,Education,4.26,36,823.0,0.13,5,3,0,66800.0,9638.85,Mortgage,2,Low Risk
46,Female,68100.0,5675.0,Employed,5.4,High School,Married,8300.0,Debt Consolidation,6.48,24,764.0,0.19,1,7,0,4400.0,3099.96,Mortgage,3,Low Risk
20,Male,51600.0,4300.0,Self-Employed,1.0,High School,Single,5900.0,Education,20.14,36,536.0,0.12,1,2,0,2000.0,2967.8,Rent,2,High Risk
19,Female,58900.0,4908.33,Employed,1.0,Bachelor,Married,16000.0,Personal,18.36,36,598.0,0.2,2,5,2,7700.0,2857.0,Rent,2,High Risk
